participant_id,trial_number,cluster,descriptor,option_a,option_b,option_c,option_d,correct_index,selected_index,is_correct,confidence_1to5,familiarity_1to5_for_descriptor,response_timestamp,form_id,is_duplicate_submission
p3,16,Fermented & Sour,vinegar-like,vinegar-like,yeasty,woodsmoke,rotten-egg,0,3,FALSE,1,4,29/07/2026 12:42:49,SESSION:p3,FALSE
p3,17,Putrid & Decay,feces,rotten_fish,feces,butyric,sweaty,1,3,FALSE,2,4,29/07/2026 12:45:35,SESSION:p3,FALSE
p3,18,Perfumed & Clean,skin-care,burnt_rubber,perfumer,nail-polisher,skin-care,3,1,FALSE,2,1,29/07/2026 12:47:30,SESSION:p3,FALSE
p3,19,Fermented & Sour,sour_milk,yeasty,sour_milk,toasty,rotten_fish,1,1,TRUE,2,2,29/07/2026 12:49:51,SESSION:p3,FALSE
p3,20,Spice,anise,cinnamon,anise,minty,Honeyed,1,2,FALSE,3,1,29/07/2026 12:51:06,SESSION:p3,FALSE
p3,21,Spice,peppery,Maple-syrup,rosemary,peppery,cinnamon,2,1,FALSE,3,4,29/07/2026 12:52:35,SESSION:p3,FALSE
p3,22,Putrid & Decay,rotten_fish,sour_milk,musty,rotten_fish,bad_breath,2,1,FALSE,2,4,29/07/2026 12:54:09,SESSION:p3,FALSE
p3,23,Body & Animalic,bad_breath,chlorine,bad_breath,sweaty,rotten_fish,1,0,FALSE,3,3,29/07/2026 12:55:23,SESSION:p3,FALSE
p3,24,Perfumed & Clean,air_freshener,disinfectant,chlorine,air_freshener,perfumer,2,0,FALSE,2,3,29/07/2026 12:57:13,SESSION:p3,FALSE
p4,1,Floral,lavender,rose,lavender,lemony,guava,1,1,TRUE,2,4,29/07/2026 14:08:56,SESSION:p4,FALSE
p4,2,Roasted & Smoky,woodsmoke,vinegar-like,woodsmoke,fresh_bread,Honeyed,1,1,TRUE,5,4,29/07/2026 14:10:34,SESSION:p4,FALSE
p4,3,Woody & Resinous,saffron,saffron,piney,eucalyptus,guava,0,2,FALSE,2,1,29/07/2026 14:13:23,SESSION:p4,FALSE
p4,4,Woody & Resinous,sandalwood,Myrrh,minty,sandalwood,lemony,2,0,FALSE,1,4,29/07/2026 14:15:41,SESSION:p4,FALSE
p4,5,Herbal & Cooling,wintergreen,Myrrh,wintergreen,minty,cinnamon,1,2,FALSE,5,1,29/07/2026 14:17:00,SESSION:p4,FALSE
p4,6,Floral,lilac,rose,tangy,currant,lilac,3,3,TRUE,3,1,29/07/2026 14:19:12,SESSION:p4,FALSE
p4,7,Citrus,tangy,currant,rose,Cedar,tangy,3,0,FALSE,1,1,29/07/2026 14:20:51,SESSION:p4,FALSE
p4,8,Citrus,lemony,lemony,sandalwood,currant,jasmine,0,0,TRUE,3,4,29/07/2026 14:22:43,SESSION:p4,FALSE
p4,9,Sweet & Gourmand,Maple-syrup,Coconut,toasty,Maple-syrup,peppery,2,3,FALSE,5,4,29/07/2026 14:25:05,SESSION:p4,FALSE
p4,10,Roasted & Smoky,fresh_bread,yeasty,fresh_bread,toasty,Vanilla,1,0,FALSE,3,5,29/07/2026 14:27:11,SESSION:p4,FALSE
p4,11,Herbal & Cooling,minty,anise,minty,wintergreen,sandalwood,1,1,TRUE,3,5,29/07/2026 14:28:40,SESSION:p4,FALSE
p4,12,Sweet & Gourmand,Vanilla,Vanilla,Maple-syrup,fresh_bread,cinnamon,0,0,TRUE,4,5,29/07/2026 14:29:59,SESSION:p4,FALSE
p4,13,Body & Animalic,wet_dog,disinfectant,wet_dog,musty,fishy,1,2,FALSE,4,3,29/07/2026 14:31:55,SESSION:p4,FALSE
p4,14,Putrid & Decay,rotten-egg,fishy,rotten-egg,vinegar-like,musty,1,2,FALSE,3,3,29/07/2026 14:33:55,SESSION:p4,FALSE
p4,15,Fermented & Sour,butyric,butyric,smoky,feces,sour_milk,0,1,FALSE,3,1,29/07/2026 14:35:38,SESSION:p4,FALSE
p4,16,Chemical & Solvent,disinfectant,chlorine,disinfectant,air_freshener,wet_dog,1,1,TRUE,2,5,29/07/2026 14:37:00,SESSION:p4,FALSE
p4,17,Spice,cumin,cumin,nutmeg,eucalyptus,Coconut,0,1,FALSE,3,5,29/07/2026 14:39:06,SESSION:p4,FALSE
p4,18,Perfumed & Clean,aftershave,aftershave,disinfectant,burnt_rubber,air_freshener,0,0,TRUE,4,1,29/07/2026 14:40:49,SESSION:p4,FALSE
p4,19,Chemical & Solvent,nail-polisher,nail-polisher,chlorine,skin-care,sweaty,0,3,FALSE,3,4,29/07/2026 14:43:18,SESSION:p4,FALSE
p4,20,Body & Animalic,fishy,burnt_rubber,wet_dog,fishy,rotten-egg,2,1,FALSE,4,5,29/07/2026 14:44:57,SESSION:p4,FALSE
p4,21,Perfumed & Clean,perfumer,chlorine,air_freshener,nail-polisher,perfumer,3,2,FALSE,4,5,29/07/2026 14:46:30,SESSION:p4,FALSE
p4,22,Putrid & Decay,musty,musty,wet_dog,yeasty,rotten_fish,0,0,TRUE,3,5,29/07/2026 14:48:10,SESSION:p4,FALSE
p4,23,Spice,anise,cinnamon,anise,minty,Honeyed,1,2,FALSE,5,1,29/07/2026 14:50:00,SESSION:p4,FALSE
p4,24,Fermented & Sour,yeasty,musty,sour_milk,yeasty,fresh_bread,2,1,FALSE,3,2,29/07/2026 14:51:57,SESSION:p4,FALSE
p5,1,Floral,lavender,rose,lavender,lemony,guava,1,1,TRUE,2,5,29/07/2026 15:11:33,SESSION:p5,FALSE
p5,2,Floral,lilac,currant,lilac,rose,tangy,1,3,FALSE,3,1,29/07/2026 15:13:16,SESSION:p5,FALSE
p5,3,Roasted & Smoky,fresh_bread,yeasty,toasty,Vanilla,fresh_bread,3,1,FALSE,1,5,29/07/2026 15:14:47,SESSION:p5,FALSE
p5,4,Sweet & Gourmand,Maple-syrup,peppery,Maple-syrup,Coconut,toasty,1,0,FALSE,1,5,29/07/2026 15:16:05,SESSION:p5,FALSE
p5,5,Woody & Resinous,Myrrh,wintergreen,Cedar,currant,Myrrh,3,1,FALSE,5,1,29/07/2026 15:18:28,SESSION:p5,FALSE
p5,6,Herbal & Cooling,eucalyptus,saffron,cumin,rosemary,eucalyptus,3,1,FALSE,4,2,29/07/2026 15:20:11,SESSION:p5,FALSE
p5,7,Herbal & Cooling,rosemary,peppery,eucalyptus,Cedar,rosemary,3,1,FALSE,5,2,29/07/2026 15:21:25,SESSION:p5,FALSE
p5,8,Woody & Resinous,piney,piney,saffron,minty,lemony,0,1,FALSE,3,1,29/07/2026 15:23:10,SESSION:p5,FALSE
p5,9,Sweet & Gourmand,Honeyed,woodsmoke,anise,Vanilla,Honeyed,3,0,FALSE,2,5,29/07/2026 15:29:06,SESSION:p5,FALSE
p5,10,Roasted & Smoky,smoky,toasty,Coconut,butyric,smoky,3,2,FALSE,1,4,29/07/2026 15:30:13,SESSION:p5,FALSE
p5,11,Citrus,currant,lilac,currant,tangy,Myrrh,1,3,FALSE,2,1,29/07/2026 15:31:49,SESSION:p5,FALSE
p5,12,Citrus,tangy,currant,Cedar,tangy,rose,2,0,FALSE,1,5,29/07/2026 15:32:55,SESSION:p5,FALSE
p5,13,Spice,cinnamon,anise,wintergreen,cinnamon,Vanilla,2,1,FALSE,1,5,29/07/2026 15:34:14,SESSION:p5,FALSE
p5,14,Perfumed & Clean,skin-care,burnt_rubber,nail-polisher,perfumer,skin-care,3,0,FALSE,2,5,29/07/2026 15:35:30,SESSION:p5,FALSE
p5,15,Putrid & Decay,musty,musty,yeasty,wet_dog,rotten_fish,0,1,FALSE,2,4,29/07/2026 15:36:44,SESSION:p5,FALSE
p5,16,Fermented & Sour,vinegar-like,woodsmoke,rotten-egg,vinegar-like,yeasty,2,1,FALSE,5,3,29/07/2026 15:37:55,SESSION:p5,FALSE
p5,17,Body & Animalic,fishy,burnt_rubber,rotten-egg,fishy,wet_dog,2,2,TRUE,4,5,29/07/2026 15:39:07,SESSION:p5,FALSE
p5,18,Body & Animalic,sweaty,feces,bad_breath,sweaty,nail-polisher,2,2,TRUE,3,4,29/07/2026 15:40:45,SESSION:p5,FALSE
p5,19,Putrid & Decay,feces,feces,butyric,sweaty,rotten_fish,0,0,TRUE,1,3,29/07/2026 15:42:00,SESSION:p5,FALSE
p5,20,Chemical & Solvent,chlorine,perfumer,chlorine,nail-polisher,bad_breath,1,1,TRUE,1,5,29/07/2026 15:50:03,SESSION:p5,FALSE
p5,21,Perfumed & Clean,perfumer,air_freshener,chlorine,nail-polisher,perfumer,3,2,FALSE,1,5,29/07/2026 15:51:21,SESSION:p5,FALSE
p5,22,Fermented & Sour,butyric,butyric,sour_milk,feces,smoky,0,2,FALSE,1,1,29/07/2026 15:52:06,SESSION:p5,FALSE
p5,23,Spice,nutmeg,cumin,Honeyed,minty,nutmeg,3,1,FALSE,1,1,29/07/2026 15:53:47,SESSION:p5,FALSE
p5,24,Chemical & Solvent,nail-polisher,skin-care,nail-polisher,sweaty,chlorine,1,0,FALSE,1,5,29/07/2026 15:54:52,SESSION:p5,FALSE
p6,1,Herbal & Cooling,minty,wintergreen,anise,minty,sandalwood,2,2,TRUE,4,5,29/07/2026 16:09:59,SESSION:p6,FALSE
p6,2,Citrus,lemony,lemony,currant,jasmine,sandalwood,0,1,FALSE,2,5,29/07/2026 16:12:18,SESSION:p6,FALSE
p6,3,Floral,rose,rose,lavender,tangy,guava,0,2,FALSE,2,5,29/07/2026 16:13:32,SESSION:p6,FALSE
p6,4,Roasted & Smoky,woodsmoke,vinegar-like,fresh_bread,Honeyed,woodsmoke,3,0,FALSE,2,4,29/07/2026 16:15:19,SESSION:p6,FALSE
p6,5,Herbal & Cooling,wintergreen,cinnamon,minty,wintergreen,Myrrh,2,1,FALSE,3,1,29/07/2026 16:17:12,SESSION:p6,FALSE
p6,6,Roasted & Smoky,toasty,smoky,sour_milk,toasty,Maple-syrup,2,0,FALSE,3,2,29/07/2026 16:18:19,SESSION:p6,FALSE
p6,7,Citrus,guava,lavender,saffron,guava,tangy,2,1,FALSE,2,1,29/07/2026 16:19:40,SESSION:p6,FALSE
p6,8,Floral,jasmine,currant,lilac,lemony,jasmine,3,0,FALSE,3,5,29/07/2026 16:20:53,SESSION:p6,FALSE
p6,9,Sweet & Gourmand,Vanilla,Vanilla,cinnamon,fresh_bread,Maple-syrup,0,0,TRUE,1,3,29/07/2026 16:22:34,SESSION:p6,FALSE
p6,10,Sweet & Gourmand,Coconut,Maple-syrup,Coconut,cumin,smoky,1,1,TRUE,3,4,29/07/2026 16:24:58,SESSION:p6,FALSE
p6,11,Woody & Resinous,saffron,piney,saffron,eucalyptus,guava,1,0,FALSE,1,1,29/07/2026 16:26:42,SESSION:p6,FALSE
p6,12,Woody & Resinous,Cedar,tangy,saffron,rosemary,Cedar,3,2,FALSE,1,1,29/07/2026 16:28:44,SESSION:p6,FALSE
p6,13,Putrid & Decay,rotten-egg,rotten-egg,musty,vinegar-like,fishy,0,1,FALSE,4,3,29/07/2026 16:30:10,SESSION:p6,FALSE
p6,14,Chemical & Solvent,burnt_rubber,burnt_rubber,fishy,disinfectant,aftershave,0,2,FALSE,2,5,29/07/2026 16:32:22,SESSION:p6,FALSE
p6,15,Perfumed & Clean,aftershave,disinfectant,air_freshener,burnt_rubber,aftershave,3,3,TRUE,2,1,29/07/2026 16:34:19,SESSION:p6,FALSE
p6,16,Fermented & Sour,sour_milk,sour_milk,toasty,rotten_fish,yeasty,0,1,FALSE,2,2,29/07/2026 16:35:57,SESSION:p6,FALSE
p6,17,Fermented & Sour,yeasty,fresh_bread,musty,yeasty,sour_milk,2,1,FALSE,1,4,29/07/2026 16:37:14,SESSION:p6,FALSE
p6,18,Spice,peppery,peppery,rosemary,cinnamon,Maple-syrup,0,2,FALSE,1,4,29/07/2026 16:39:01,SESSION:p6,FALSE
p6,19,Perfumed & Clean,air_freshener,chlorine,perfumer,air_freshener,disinfectant,2,2,TRUE,1,5,29/07/2026 16:40:25,SESSION:p6,FALSE
p6,20,Body & Animalic,wet_dog,musty,fishy,wet_dog,disinfectant,2,2,TRUE,1,1,29/07/2026 16:43:17,SESSION:p6,FALSE
p6,21,Chemical & Solvent,disinfectant,air_freshener,chlorine,wet_dog,disinfectant,3,0,FALSE,2,5,29/07/2026 16:45:26,SESSION:p6,FALSE
p6,22,Spice,anise,Honeyed,anise,cinnamon,minty,1,2,FALSE,2,5,29/07/2026 16:46:59,SESSION:p6,FALSE
p6,23,Putrid & Decay,rotten_fish,bad_breath,musty,sour_milk,rotten_fish,3,2,FALSE,1,4,29/07/2026 16:48:41,SESSION:p6,FALSE
p6,24,Body & Animalic,bad_breath,chlorine,bad_breath,rotten_fish,sweaty,1,0,FALSE,1,4,29/07/2026 16:50:11,SESSION:p6,FALSE
p7,1,Woody & Resinous,sandalwood,minty,sandalwood,musty,anise,1,0,FALSE,3,2,30/07/2026 15:20:12,SESSION:p7,FALSE
p7,2,Sweet & Gourmand,Coconut,Coconut,guava,vinegar-like,lavender,0,3,FALSE,4,4,30/07/2026 15:22:45,SESSION:p7,FALSE
p7,3,Citrus,currant,Myrrh,aftershave,wintergreen,currant,3,3,TRUE,3,3,30/07/2026 15:25:16,SESSION:p7,FALSE
p7,4,Floral,lilac,Myrrh,vinegar-like,currant,lilac,3,0,FALSE,1,2,30/07/2026 15:27:17,SESSION:p7,FALSE
p7,5,Roasted & Smoky,woodsmoke,vinegar-like,jasmine,woodsmoke,rotten-egg,2,2,TRUE,4,5,30/07/2026 15:31:06,SESSION:p7,FALSE
p7,6,Citrus,lemony,minty,lemony,sandalwood,burnt_rubber,1,0,FALSE,4,5,30/07/2026 15:34:24,SESSION:p7,FALSE
p7,7,Floral,jasmine,jasmine,woodsmoke,lemony,sandalwood,0,0,TRUE,2,1,30/07/2026 15:36:10,SESSION:p7,FALSE
p7,8,Herbal & Cooling,eucalyptus,Coconut,eucalyptus,cumin,chlorine,1,1,TRUE,1,3,30/07/2026 15:39:49,SESSION:p7,FALSE
p7,9,Sweet & Gourmand,Honeyed,Honeyed,nail-polisher,lemony,jasmine,0,3,FALSE,2,5,30/07/2026 15:42:20,SESSION:p7,FALSE
p7,10,Woody & Resinous,piney,piney,minty,toasty,nutmeg,0,0,TRUE,3,4,30/07/2026 15:45:47,SESSION:p7,FALSE
p7,11,Roasted & Smoky,toasty,rotten_fish,sour_milk,toasty,sandalwood,2,1,FALSE,3,5,30/07/2026 15:49:57,SESSION:p7,FALSE
p7,12,Herbal & Cooling,minty,Honeyed,minty,sour_milk,anise,1,1,TRUE,1,5,30/07/2026 15:53:03,SESSION:p7,FALSE
p7,13,Putrid & Decay,rotten-egg,burnt_rubber,Myrrh,fishy,rotten-egg,3,1,FALSE,2,5,30/07/2026 15:59:37,SESSION:p7,FALSE
p7,14,Perfumed & Clean,skin-care,butyric,Coconut,skin-care,smoky,2,2,TRUE,1,2,30/07/2026 16:03:54,SESSION:p7,FALSE
p7,15,Fermented & Sour,sour_milk,bad_breath,rotten_fish,lilac,sour_milk,3,0,FALSE,4,5,30/07/2026 16:06:02,SESSION:p7,FALSE
p7,16,Spice,peppery,Maple-syrup,peppery,rose,butyric,1,2,FALSE,2,4,30/07/2026 16:09:04,SESSION:p7,FALSE
p7,17,Spice,cinnamon,smoky,Vanilla,lilac,cinnamon,3,1,FALSE,3,4,30/07/2026 16:10:58,SESSION:p7,FALSE
p7,18,Perfumed & Clean,aftershave,woodsmoke,vinegar-like,aftershave,saffron,2,2,TRUE,3,4,30/07/2026 16:14:46,SESSION:p7,FALSE
p7,19,Body & Animalic,sweaty,rosemary,sweaty,nail-polisher,skin-care,1,1,TRUE,4,4,30/07/2026 16:15:32,SESSION:p7,FALSE
p7,20,Chemical & Solvent,chlorine,lavender,perfumer,toasty,chlorine,3,3,TRUE,2,5,30/07/2026 16:16:57,SESSION:p7,FALSE
p7,21,Fermented & Sour,vinegar-like,anise,vinegar-like,fishy,rotten-egg,1,1,TRUE,1,5,30/07/2026 16:18:41,SESSION:p7,FALSE
p7,22,Chemical & Solvent,nail-polisher,nail-polisher,guava,smoky,skin-care,0,2,FALSE,2,5,30/07/2026 16:20:45,SESSION:p7,FALSE
p7,23,Putrid & Decay,feces,Vanilla,sweaty,nail-polisher,feces,3,2,FALSE,2,4,30/07/2026 16:22:33,SESSION:p7,FALSE
p7,24,Body & Animalic,fishy,aftershave,burnt_rubber,fishy,rose,2,0,FALSE,2,5,30/07/2026 16:24:18,SESSION:p7,FALSE
p8,1,Citrus,tangy,Cedar,tangy,fresh_bread,rosemary,1,0,FALSE,3,2,30/07/2026 16:30:56,SESSION:p8,FALSE
p8,2,Sweet & Gourmand,Coconut,guava,Coconut,vinegar-like,lavender,1,3,FALSE,5,3,30/07/2026 16:32:40,SESSION:p8,FALSE
p8,3,Woody & Resinous,Cedar,rosemary,disinfectant,Cedar,peppery,2,2,TRUE,3,3,30/07/2026 16:34:49,SESSION:p8,FALSE
p8,4,Roasted & Smoky,woodsmoke,rotten-egg,woodsmoke,vinegar-like,jasmine,1,3,FALSE,4,5,30/07/2026 16:37:00,SESSION:p8,FALSE
p8,5,Roasted & Smoky,fresh_bread,lemony,musty,yeasty,fresh_bread,3,0,FALSE,3,5,30/07/2026 16:39:18,SESSION:p8,FALSE
p8,6,Herbal & Cooling,minty,sour_milk,anise,Honeyed,minty,3,3,TRUE,5,5,30/07/2026 16:40:03,SESSION:p8,FALSE
p8,7,Floral,jasmine,lemony,sandalwood,jasmine,woodsmoke,2,2,TRUE,4,3,30/07/2026 16:42:44,SESSION:p8,FALSE
p8,8,Floral,lilac,vinegar-like,currant,Myrrh,lilac,3,3,TRUE,1,1,30/07/2026 16:45:00,SESSION:p8,FALSE
p8,9,Sweet & Gourmand,Vanilla,Vanilla,lilac,skin-care,currant,0,1,FALSE,1,3,30/07/2026 16:47:10,SESSION:p8,FALSE
p8,10,Herbal & Cooling,wintergreen,Vanilla,cinnamon,wintergreen,rotten_fish,2,2,TRUE,3,1,30/07/2026 16:49:02,SESSION:p8,FALSE
p8,11,Woody & Resinous,saffron,cumin,saffron,eucalyptus,air_freshener,1,2,FALSE,4,1,30/07/2026 16:51:15,SESSION:p8,FALSE
p8,12,Citrus,currant,aftershave,wintergreen,currant,Myrrh,2,0,FALSE,1,1,30/07/2026 16:52:56,SESSION:p8,FALSE
p8,13,Chemical & Solvent,chlorine,chlorine,perfumer,lavender,toasty,0,0,TRUE,4,5,30/07/2026 16:55:25,SESSION:p8,FALSE
p8,14,Body & Animalic,sweaty,sweaty,skin-care,nail-polisher,rosemary,0,0,TRUE,3,5,30/07/2026 16:58:15,SESSION:p8,FALSE
p8,15,Fermented & Sour,yeasty,wet_dog,Honeyed,musty,yeasty,3,1,FALSE,2,2,30/07/2026 17:00:05,SESSION:p8,FALSE
p8,16,Chemical & Solvent,burnt_rubber,burnt_rubber,peppery,aftershave,woodsmoke,0,3,FALSE,4,5,30/07/2026 17:01:34,SESSION:p8,FALSE
p8,17,Putrid & Decay,musty,musty,wintergreen,disinfectant,wet_dog,0,2,FALSE,3,5,30/07/2026 17:03:45,SESSION:p8,FALSE
p8,18,Putrid & Decay,rotten_fish,rotten_fish,bad_breath,chlorine,cinnamon,0,2,FALSE,2,4,30/07/2026 17:05:27,SESSION:p8,FALSE
p8,19,Perfumed & Clean,perfumer,sour_milk,toasty,perfumer,cumin,2,2,TRUE,4,5,30/07/2026 17:07:35,SESSION:p8,FALSE
p8,20,Spice,cumin,feces,lavender,Coconut,cumin,3,1,FALSE,4,1,30/07/2026 17:09:12,SESSION:p8,FALSE
p8,21,Body & Animalic,fishy,rose,fishy,aftershave,burnt_rubber,1,0,FALSE,2,4,30/07/2026 17:11:02,SESSION:p8,FALSE
p8,22,Fermented & Sour,butyric,currant,sweaty,butyric,feces,2,0,FALSE,1,1,30/07/2026 17:12:57,SESSION:p8,FALSE
p8,23,Perfumed & Clean,aftershave,woodsmoke,saffron,aftershave,vinegar-like,2,2,TRUE,2,2,30/07/2026 17:14:43,SESSION:p8,FALSE
p8,24,Spice,peppery,peppery,Maple-syrup,butyric,rose,0,2,FALSE,1,4,30/07/2026 17:16:37,SESSION:p8,FALSE
p9,1,Roasted & Smoky,toasty,sandalwood,sour_milk,rotten_fish,toasty,3,3,TRUE,4,4,31/07/2026 14:36:52,SESSION:p9,FALSE
p9,2,Herbal & Cooling,rosemary,peppery,bad_breath,Maple-syrup,rosemary,3,3,TRUE,1,5,31/07/2026 14:38:46,SESSION:p9,FALSE
p9,3,Roasted & Smoky,smoky,feces,minty,smoky,butyric,2,2,TRUE,5,5,31/07/2026 14:39:31,SESSION:p9,FALSE
p9,4,Woody & Resinous,sandalwood,minty,sandalwood,anise,musty,1,0,FALSE,3,4,31/07/2026 14:40:27,SESSION:p9,FALSE
p9,5,Citrus,guava,saffron,yeasty,eucalyptus,guava,3,2,FALSE,2,3,31/07/2026 14:43:09,SESSION:p9,FALSE
p9,6,Floral,rose,Cedar,tangy,rose,rotten-egg,2,0,FALSE,4,5,31/07/2026 14:43:56,SESSION:p9,FALSE
p9,7,Sweet & Gourmand,Maple-syrup,rose,woodsmoke,tangy,Maple-syrup,3,1,FALSE,3,5,31/07/2026 14:46:18,SESSION:p9,FALSE
p9,8,Herbal & Cooling,eucalyptus,chlorine,cumin,eucalyptus,Coconut,2,2,TRUE,3,4,31/07/2026 14:47:40,SESSION:p9,FALSE
p9,9,Citrus,lemony,sandalwood,lemony,minty,burnt_rubber,1,1,TRUE,5,4,31/07/2026 14:48:36,SESSION:p9,FALSE
p9,10,Floral,lavender,saffron,lavender,guava,fishy,1,1,TRUE,3,5,31/07/2026 14:49:50,SESSION:p9,FALSE
